uniqueid,age_band,gender,culp_planning,culp_forcethreat,culp_role,culp_other_sophisticated,culp_other_usedchild,culp_other_banning,culp_other_involveothers,culp_other_coerced,culp_other_disorder,value_goods,harm_emotional,harm_injury,harm_damage,harm_effect,harm_otherfactors,culpability_category,harm_category,starting_point,agg_precons,agg_precons_amount,agg_attemptstoconceal,agg_failuretocomply,agg_bail,agg_TICs,agg_widerimpact,agg_prevalence,agg_professional,agg_stealing,agg_otherfactors,mit_age,mit_character,mit_convictions,mit_finhardship,mit_steps,mit_disorder,mit_remorse,mit_return,mit_condition,mit_carer,mit_otherfactors,outcome_before_GP,GP_entered,GP_firstopportunity,GP_when,GP_fewerrequirements,GP_reduction,GP_percentreduction,GP_droppedthreshold,outcome,outcome_custody_measure,outcome_custody_length,outcome_custody_years,outcome_suspension_years,totality_adjustment
POST001,18 to 21,Female,Little or no planning,None,Significant,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,4 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Unknown/Missing,Yes,Yes,First hearing,0,0,,1,Unknown/Missing,,,,,Yes
POST002,30 to 39,Male,Some planning,None,Leading,0,0,0,0,0,0,£11-£50,0,0,0,0,0,B - Medium,Category 3,Fine band C,Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fine band B,Yes,Yes,First hearing,0,1,33,0,Fine band B,,,,,No
POST003,40 to 49,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£101-£200,0,0,0,1,0,C - Lesser,Unknown/Missing,Fine (no band),No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Fine band B,Yes,Unknown/Missing,First hearing,0,0,,0,Other,,,,,Unknown/Missing
POST004,22 to 29,Female,Some planning,None,Leading,0,0,0,0,0,0,£201-£500,0,0,0,0,0,B - Medium,Category 3,Unknown/Missing,Yes,20 or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Community Order - Low,Yes,Unknown/Missing,First hearing,0,0,,1,Unknown/Missing,,,,,No
POST005,30 to 39,Female,Some planning,None,Lone,0,0,0,0,0,0,£51-£100,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,Yes,10 to 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fine band A,Yes,Unknown/Missing,First hearing,0,0,,1,Conditional discharge,,,,,Yes
POST006,30 to 39,Male,Some planning,None,Lone,0,0,0,0,0,0,£201-£500,0,0,0,1,0,B - Medium,Category 2,Community Order (no level),Yes,1 to 3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Community Order - Medium,Yes,Yes,First hearing,0,1,33,0,Community Order - Low,,,,,Yes
POST007,22 to 29,Female,Some planning,High or significant level,Leading,0,0,0,0,0,0,£51-£100,1,1,0,0,0,A - High,Category 2,Unknown/Missing,Yes,20 or more,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Suspended sentence order,Yes,Yes,Unknown/Missing,0,0,,1,Suspended sentence order,,,,0.375,Yes
POST008,22 to 29,Female,Little or no planning,None,Leading,0,0,1,0,0,0,£501-£1000,0,0,0,0,1,B - Medium,Category 1,Custody,Yes,4 to 9,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Immediate Custody,Yes,Yes,First hearing,0,1,30,0,Immediate Custody,weeks,20,0.38,,Yes
POST009,40 to 49,Male,Little or no planning,None,Lone,0,0,0,0,0,0,£11-£50,0,0,0,0,0,C - Lesser,Category 3,Fine band A,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Discharge,Yes,Yes,First hearing,0,0,,1,Conditional discharge,,,,,No
POST010,60 and over,Female,Some planning,None,Significant,0,0,0,0,0,0,Unknown/Missing,0,0,0,0,0,C - Lesser,Category 3,Unknown/Missing,No,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Discharge,Yes,Yes,First hearing,0,1,33,0,Conditional discharge,,,,,Unknown/Missing
