year,56A_w,56A_N,56A_cust,56A_custp,56A_acsl,56B_w,56B_N,56B_cust,56B_custp,56B_acsl,58EJ_w,58EJ_N,58EJ_cust,58EJ_custp,58EJ_acsl,58D_w,58D_N,58D_cust,58D_custp,58D_acsl
2004,902,494,307,,38.55033557,200,1005,223,,18.84766816,13,282,34,,8.086176471,9,9007,529,,3.272911153
2005,902,466,288,,39.20772549,200,990,223,,17.24172897,13,266,39,,9.209230769,9,8963,566,,4.236578014
2006,902,462,281,,37.29375587,200,1085,261,,16.1539834,13,276,47,,6.944042553,9,9939,620,,3.427346278
2007,902,477,269,,34.41449275,200,1042,259,,17.40420168,13,307,38,,7.066842105,9,9770,613,,3.738398693
2008,902,479,289,,34.09841202,200,1066,235,,16.64119816,13,281,29,,5.749655172,9,7087,467,,3.869182796
2009,902,503,323,,39.13406475,200,946,226,,20.8183871,13,250,25,,3.7092,9,5468,329,,3.587659574
2010,902,470,,0.687,39.3,200,912,,0.246,17.6,13,249,,0.096,4.9,9,5314,,0.07,3.4
2011,902,521,,0.672,38.9,200,962,,0.251,18,13,267,,0.12,3.8,9,4892,,0.075,3.5
2012,902,508,,0.726,40.2,200,926,,0.28,22.3,13,224,,0.147,5.3,9,4262,,0.065,3.2
2013,902,463,,0.711,41,200,730,,0.273,20.9,13,201,,0.104,3.7,9,3298,,0.054,3.6
2014,902,451,,0.639,38.1,200,623,,0.307,18.4,13,189,,0.106,2.7,9,1604,,0.079,4
2015,902,494,,0.609,38.5,200,583,,0.295,16.2,13,158,,0.108,4.9,9,1122,,0.104,5.1
2016,902,464,,0.606,38.4,200,628,,0.311,17.1,13,142,,0.063,3.5,9,993,,0.113,5
2017,902,309,,0.55,42.1,200,608,,0.345,20.9,13,183,,0.109,3.3,9,1000,,0.128,6.2
2018,902,255,,0.604,45.6,200,607,,0.336,18,13,175,,0.126,3.7,9,841,,0.14,6.4
2019,902,212,,0.575,46,200,510,,0.345,19.9,13,120,,0.067,4.9,9,768,,0.15,5.4
2020,902,162,,0.519,46.9,200,418,,0.323,17.3,13,77,,0.143,14,9,596,,0.188,8.2
2021,902,144,,0.556,48.8,200,489,,0.294,20.4,13,116,,0.078,2.3,9,640,,0.138,6.7
2022,902,314,,0.65,43,200,410,,0.312,16.1,13,78,,0.192,6,9,616,,0.123,4.9
2023,902,388,,0.688,44.3,200,466,,0.305,17.7,13,84,,0.179,3.7,9,631,,0.151,7.7
2024,902,374,,0.626,41.8,200,453,,0.316,17.5,13,81,,0.148,4.5,9,738,,0.157,5.9
