year,92A_w,92A_N,92A_cust,92A_custp,92A_acsl,92B_w,92B_N,92B_cust,92B_custp,92B_acsl,92C_w,92C_N,92C_cust,92C_custp,92C_acsl
2004,667,10880,6816,,42.24614233,5,27754,1052,,6.384315589,12,513,113,,25.46309735
2005,667,11085,6581,,41.04045137,5,27258,1066,,5.972234742,12,556,136,,16.925
2006,667,10845,6226,,39.2007565,5,27950,1090,,5.790752294,12,683,216,,18.55476852
2007,667,11952,6602,,37.84109848,5,31584,1234,,4.260202758,12,964,350,,17.48477143
2008,667,13754,7584,,38.68610078,5,38022,1426,,4.393887719,12,1135,478,,22.04290795
2009,667,14680,7841,,37.05718913,5,41105,1287,,4.592564103,12,871,298,,21.91845638
2010,667,16671,,0.512,35.9,5,42372,,0.031,3.6,12,539,,0.15,20.5
2011,667,17626,,0.457,35.2,5,43500,,0.031,3.7,12,572,,0.11,17.5
2012,667,17985,,0.47,33.8,5,40661,,0.03,3.6,12,651,,0.108,12
2013,667,16975,,0.446,33.6,5,39379,,0.029,3.2,12,642,,0.079,7.8
2014,667,17452,,0.442,36,5,35964,,0.033,3.1,12,682,,0.081,9.5
2015,667,17491,,0.436,37.3,5,30500,,0.031,3.1,12,616,,0.083,14.2
2016,667,16313,,0.478,37.5,5,27135,,0.035,2.9,12,590,,0.092,8.2
2017,667,14743,,0.529,39.3,5,25320,,0.044,2.9,12,458,,0.146,8.9
2018,667,13088,,0.558,40.1,5,23088,,0.048,3.3,12,369,,0.1,9.3
2019,667,13204,,0.583,41.5,5,24480,,0.043,2.4,12,397,,0.139,9.1
2020,667,11302,,0.584,39.7,5,20886,,0.039,1.9,12,304,,0.109,8.7
2021,667,14987,,0.522,36.8,5,26808,,0.028,2.4,12,368,,0.076,9.5
2022,667,16103,,0.564,42,5,20952,,0.033,2.4,12,353,,0.082,10.5
2023,667,15455,,0.573,42.2,5,20219,,0.038,2.7,12,287,,0.136,8.3
2024,667,16386,,0.591,44.7,5,21328,,0.038,2.7,12,239,,0.096,12.8
