year,51_w,51_N,51_cust,51_custp,51_acsl,52_w,52_N,52_cust,52_custp,52_acsl,53B_w,53B_N,53B_cust,53B_custp,53B_acsl,53C_w,53C_N,53C_cust,53C_custp,53C_acsl,53D_w,53D_N,53D_cust,53D_custp,53D_acsl,53E_w,53E_N,53E_cust,53E_custp,53E_acsl,53F_w,53F_N,53F_cust,53F_custp,53F_acsl,55_w,55_N,55_cust,55_custp,55_acsl
2004,810,47,20,,21.45,192,747,178,,12.03707865,297,193,67,,26.59597015,126,2505,470,,5.595085106,321,9021,1856,,7.422015086,27,35,5,,13.6,343,97,9,,12,49,176,31,,6.022580645
2005,810,37,29,,32.06896552,192,639,160,,10.66025,297,134,45,,30.41933333,126,4515,850,,7.772435294,321,8018,1809,,8.405069099,27,92,13,,7.123076923,343,330,60,,12.35716667,49,140,14,,7.007142857
2006,810,18,11,,29.63636364,192,515,114,,13.30201754,297,349,65,,23.58507692,126,6472,1303,,8.247129701,321,6493,1456,,8.570123626,27,215,15,,14.058,343,453,107,,14.47074766,49,130,21,,9.17
2007,810,22,14,,25.14285714,192,397,73,,15.93506849,297,163,55,,25.76236364,126,7158,1401,,9.627937188,321,3513,804,,10.15662935,27,387,31,,8.23,343,535,134,,16.68432836,49,169,22,,9.018181818
2008,810,21,17,,32.23529412,192,260,61,,16.22836066,297,315,60,,34.78216667,126,7191,1520,,11.55878947,321,1169,360,,13.2785,27,399,24,,10.07791667,343,572,173,,17.49404624,49,170,27,,8.565555556
2009,810,33,23,,25.95652174,192,157,55,,17.53818182,297,270,39,,26.37589744,126,6785,1419,,10.97577872,321,586,226,,14.60030973,27,222,26,,12.57038462,343,532,183,,19.67852459,49,133,24,,7.783333333
2010,810,29,,0.759,25.1,192,175,,0.343,17.6,297,285,,0.228,30.5,126,6704,,0.196,9.0,321,540,,0.374,15.4,27,281,,0.093,10.2,343,467,,0.210,14.5,49,134,,0.224,9.0
2011,810,28,,0.714,31.1,192,155,,0.297,15.8,297,243,,0.218,36.5,126,7223,,0.209,10.5,321,369,,0.339,15.9,27,430,,0.060,10.6,343,584,,0.291,16.8,49,124,,0.121,9.8
2012,810,38,,0.763,35.1,192,121,,0.306,20.9,297,116,,0.233,14.8,126,7032,,0.210,11.5,321,200,,0.430,17.6,27,284,,0.081,9.6,343,558,,0.335,19.4,49,121,,0.248,6.9
2013,810,30,,0.533,28.8,192,88,,0.182,20.6,297,81,,0.383,16.3,126,6542,,0.213,11.2,321,118,,0.500,17.0,27,253,,0.083,11.6,343,543,,0.348,20.1,49,137,,0.175,9.4
2014,810,33,,0.818,36.2,192,74,,0.338,17.7,297,53,,0.057,NA,126,5975,,0.227,12.2,321,86,,0.430,18.3,27,475,,0.057,7.4,343,535,,0.359,21.5,49,127,,0.126,8.1
2015,810,38,,0.711,33.1,192,56,,0.214,21.8,297,55,,0.182,16.3,126,5789,,0.225,15.0,321,70,,0.443,21.6,27,547,,0.060,9.9,343,558,,0.369,22.2,49,83,,0.084,10.1
2016,810,17,,0.529,33.3,192,46,,0.348,27.3,297,52,,0.212,19.9,126,5418,,0.237,14.9,321,73,,0.411,23.8,27,385,,0.075,13.2,343,574,,0.389,26.7,49,88,,0.136,10.2
2017,810,30,,0.600,45.6,192,30,,0.200,29.8,297,49,,0.102,17.2,126,5543,,0.289,15.1,321,32,,0.406,30.9,27,401,,0.077,10.1,343,556,,0.374,25.6,49,72,,0.097,11.9
2018,810,35,,0.771,40.0,192,14,,0.214,NA,297,25,,0.080,NA,126,5220,,0.294,13.4,321,12,,0.333,NA,27,456,,0.055,16.2,343,488,,0.404,27.4,49,57,,0.053,NA
2019,810,45,,0.622,39.4,192,22,,0.091,NA,297,15,,0.267,NA,126,4416,,0.283,15.5,321,12,,0.417,14.5,27,323,,0.037,9.5,343,437,,0.359,32.1,49,71,,0.085,13.5
2020,810,40,,0.650,35.4,192,7,,0.286,NA,297,32,,0.031,NA,126,3260,,0.285,12.7,321,4,,0.000,0.0,27,181,,0.072,13.4,343,330,,0.358,27.9,49,30,,0.233,8.3
2021,810,20,,0.550,37.3,192,5,,0.200,NA,297,57,,0.000,0.0,126,2853,,0.235,13.3,321,7,,0.571,NA,27,104,,0.067,16.4,343,366,,0.303,26.0,49,72,,0.069,10.0
2022,810,20,,0.450,42.2,192,5,,0.600,NA,297,57,,0.018,NA,126,2358,,0.307,17.9,321,6,,0.167,NA,27,51,,0.176,10.6,343,313,,0.351,32.6,49,62,,0.081,13.4
2023,810,19,,0.632,52.8,192,6,,0.833,46.4,297,153,,0.026,NA,126,2294,,0.288,15.5,321,5,,0.400,NA,27,44,,0.023,NA,343,286,,0.339,35.4,49,33,,0.061,NA
2024,810,30,,0.667,48.4,192,1,,0.000,0.0,297,189,,0.011,NA,126,2598,,0.289,16.8,321,3,,0.000,0.0,27,74,,0.027,NA,343,254,,0.323,32.0,49,31,,0.129,NA
