year,64_w,64_N,64_cust,64_custp,64_acsl,65_w,65_N,65_cust,65_custp,65_acsl,66_w,66_N,66_cust,66_custp,66_acsl
2004,1880,12,11,,47.81818182,356,910,616,,14.3875487,69,8196,2217,,8.608316027
2005,1880,7,7,,41.28571429,356,841,507,,15.52096647,69,7925,2183,,9.303279669
2006,1880,1,1,,NA,356,618,306,,16.22631579,69,8114,2014,,9.416412556
2007,1880,3,2,,NA,356,689,367,,15.92297521,69,8347,1986,,9.551415571
2008,1880,5,3,,NA,356,637,349,,17.84915452,69,7916,2030,,10.05353555
2009,1880,9,9,,72,356,461,268,,17.30662921,69,11273,3064,,8.553062092
2010,1880,2,0,,0,356,615,,0.584,17.8,69,11684,,0.263,8.4
2011,1880,0,0,,0,356,617,,0.609,17.6,69,11629,,0.273,8.4
2012,1880,10,,1,43.8,356,737,,0.665,18.7,69,10043,,0.294,8.4
2013,1880,12,,1,76.5,356,389,,0.643,18.7,69,9149,,0.294,9
2014,1880,0,0,0,0,356,538,,0.556,18.4,69,10270,,0.278,8.1
2015,1880,0,0,0,0,356,384,,0.651,17.4,69,10785,,0.276,7.8
2016,1880,0,0,0,0,356,398,,0.573,18.9,69,12133,,0.289,7.1
2017,1880,0,0,0,0,356,362,,0.575,20.4,69,13103,,0.3,6.5
2018,1880,0,0,0,0,356,362,,0.522,21.6,69,13270,,0.318,6.9
2019,1880,0,0,0,0,356,403,,0.591,21.9,69,13022,,0.309,7.3
2020,1880,0,0,0,0,356,324,,0.599,19.8,69,11145,,0.344,7.5
2021,1880,0,0,0,0,356,280,,0.493,18.9,69,12064,,0.303,7.9
2022,1880,18,,0.778,49.1,356,373,,0.469,22.5,69,11600,,0.329,8.9
2023,1880,24,,0.958,48.4,356,421,,0.42,22.4,69,11895,,0.338,8.7
2024,1880,0,0,0,0,356,409,,0.435,21.5,69,13091,,0.343,8.7
