year,34_w,34_N,34_cust,34_custp,34_acsl
2004,994,7513,5063,,38
2005,994,7139,4407,,35
2006,994,8169,4802,,32
2007,994,8862,4772,,31
2008,994,8495,5095,,33
2009,994,8664,5155,,34
2010,994,8268,,0.591,34
2011,994,9164,,0.594,36
2012,994,9097,,0.589,35
2013,994,7434,,0.628,38
2014,994,6168,,0.641,40
2015,994,5228,,0.682,42
2016,994,4378,,0.691,44
2017,994,4098,,0.699,47
2018,994,4170,,0.697,49
2019,994,4086,,0.685,51
2020,994,3680,,0.643,51
2021,994,3707,,0.545,46
2022,994,3002,,0.597,49
2023,994,3195,,0.609,47
2024,994,3350,,0.564,45
