year,19C_w,19C_N,19C_cust,19C_custp,19C_acsl,19D_w,19D_N,19D_cust,19D_custp,19D_acsl,19E_w,19E_N,19E_cust,19E_custp,19E_acsl,19F_w,19F_N,19F_cust,19F_custp,19F_acsl,19G_w,19G_N,19G_cust,19G_custp,19G_acsl,19H_w,19H_N,19H_cust,19H_custp,19H_acsl,17A_w,17A_N,17A_cust,17A_custp,17A_acsl,17B_w,17B_N,17B_cust,17B_custp,17B_acsl,20A_w,20A_N,20A_cust,20A_custp,20A_acsl,20B_w,20B_N,20B_cust,20B_custp,20B_acsl,21_w,21_N,21_cust,21_custp,21_acsl,22_w,22_N,22_cust,22_custp,22_acsl,16_w,16_N,16_cust,16_custp,16_acsl,18_w,22A_w,22A_N,22A_cust,22A_custp,22A_acsl,23_w,23_N,23_cust,23_custp,23_acsl,25_w,25_N,25_cust,25_custp,25_acsl,70_w,70_N,70_cust,70_custp,70_acsl,71_w,71_N,71_cust,71_custp,71_acsl,72_w,72_N,72_cust,72_custp,72_acsl,73_w,73_N,73_cust,73_custp,73_acsl,74_w,74_N,74_cust,74_custp,74_acsl,88A_w,88A_N,88A_cust,88A_custp,88A_acsl,88B_w,88B_N,88B_cust,88B_custp,88B_acsl,88C_w,88C_N,88C_cust,88C_custp,88C_acsl,88D_w,88D_N,88D_cust,88D_custp,88D_acsl,88E_w,88E_N,88E_cust,88E_custp,88E_acsl
2004,3163,381,368,,75,3826,316,307,,96,3043,0,0,,0,3395,35,28,,78,3863,12,12,,93,2166,2,0,,0,909,72,29,,27,978,9,4,,0,498,994,462,,25,1295,35,13,,29,1059,95,57,,40,769,309,146,,13,3656,63,51,,71,680,908,0,0,,0,1308,33,23,,41,317,0,0,,0,1303,0,0,,0,959,0,0,,0,1872,0,0,,0,246,419,153,,5,819,245,148,,28,316,0,0,,0,96,7,7,,56,1361,0,0,0,0,164,0,0,,0,47,184,29,,5.247241379
2005,3163,386,377,,79,3826,281,267,,91,3043,60,47,,59,3395,38,31,,84,3863,16,15,,70,2166,14,10,,50,909,68,34,,28,978,61,27,,30,498,1147,519,,23,1295,206,106,,30,1059,141,63,,34,769,508,284,,23,3656,33,30,,62,680,908,14,10,,42,1308,64,32,,34,317,0,0,,0,1303,17,10,,40,959,6,5,,34,1872,12,12,,76,246,132,50,,8,819,126,77,,29,316,25,20,,30,96,21,16,,47,1361,0,0,0,0,164,1,0,,0,47,584,88,,7.238636364
2006,3163,427,413,,78,3826,271,262,,89,3043,90,72,,72,3395,21,19,,83,3863,20,19,,77,2166,34,19,,48,909,61,23,,23,978,62,33,,34,498,1184,505,,21,1295,312,183,,34,1059,189,113,,31,769,649,371,,25,3656,34,31,,97,680,908,18,14,,39,1308,96,70,,32,317,1,0,,0,1303,15,9,,37,959,19,11,,40,1872,15,15,,61,246,84,37,,11,819,67,46,,26,316,37,24,,21,96,21,13,,35,1361,0,0,0,0,164,0,0,,0,47,700,115,,7.075043478
2007,3163,420,410,,76,3826,276,270,,102,3043,93,74,,73,3395,24,21,,90,3863,17,17,,91,2166,42,29,,50,909,79,30,,21,978,72,40,,31,498,1171,461,,20,1295,330,194,,31,1059,216,110,,33,769,628,350,,28,3656,43,40,,85,680,908,19,12,,31,1308,108,77,,35,317,0,0,,0,1303,20,16,,31,959,25,12,,34,1872,15,14,,55,246,70,31,,8,819,81,47,,30,316,52,36,,23,96,37,26,,32,1361,0,0,0,0,164,3,0,,0,47,709,107,,6.690190476
2008,3163,437,425,,78,3826,271,263,,106,3043,144,126,,97,3395,21,18,,92,3863,12,11,,75,2166,34,22,,75,909,93,39,,22,978,71,33,,31,498,1199,492,,20,1295,365,241,,36,1059,215,105,,29,769,696,453,,29,3656,33,30,,86,680,908,20,14,,28,1308,114,72,,38,317,0,0,,0,1303,19,14,,47,959,27,19,,35,1872,24,23,,40,246,50,22,,10,819,54,38,,31,316,46,28,,19,96,33,23,,34,1361,0,0,0,0,164,2,0,,0,47,679,121,,6.016528926
2009,3163,468,456,,78,3826,315,305,,121,3043,150,124,,98,3395,17,15,,116,3863,17,16,,76,2166,32,25,,74,909,82,37,,17,978,67,34,,31,498,1223,456,,22,1295,329,213,,41,1059,201,86,,30,769,737,460,,31,3656,27,24,,98,680,908,14,12,,45,1308,113,77,,37,317,0,0,,0,1303,26,15,,37,959,30,19,,49,1872,23,21,,62,246,33,19,,10,819,55,43,,31,316,50,36,,21,96,26,17,,34,1361,0,0,0,0,164,2,0,,0,47,631,116,,5.275258621
2010,3163,457,,0.976,79,3826,292,,0.959,119,3043,175,,0.8,97,3395,19,,0.895,77,3863,24,,0.875,115,2166,31,,0.71,74,909,78,,0.397,25,978,72,,0.528,34,498,1317,,0.371,21,1295,380,,0.666,44,1059,223,,0.439,32,769,791,,0.649,32,3656,40,,0.925,95,680,908,9,,0.667,45,1308,101,,0.564,35,317,1,,0,0,1303,30,,0.767,45,959,37,,0.676,35,1872,20,,0.9,58,246,25,,0.72,14,819,63,,0.778,27,316,68,,0.632,20,96,0,0,0,0,1361,19,,0.737,27,164,3,,0,0,47,645,,0.172,6
2011,3163,526,,0.977,81,3826,354,,0.963,124,3043,197,,0.868,102,3395,17,,0.941,67,3863,21,,0.952,116,2166,47,,0.681,98,909,96,,0.323,19,978,79,,0.595,30,498,1520,,0.385,21,1295,591,,0.706,43,1059,270,,0.522,44,769,833,,0.612,32,3656,47,,0.915,92,680,908,11,,0.545,45,1308,142,,0.634,39,317,0,,0,0,1303,37,,0.568,43,959,48,,0.667,28,1872,9,,1,28,246,24,,0.708,12,819,70,,0.729,36,316,55,,0.527,18,96,0,0,0,0,1361,24,,0.708,37,164,5,,0,0,47,769,,0.153,5.8
2012,3163,522,,0.973,85,3826,305,,0.977,127,3043,215,,0.916,112,3395,15,,1,75,3863,36,,0.972,120,2166,51,,0.765,102,909,79,,0.443,27,978,69,,0.638,33,498,1536,,0.371,22,1295,725,,0.742,45,1059,314,,0.586,35,769,863,,0.627,34,3656,44,,0.977,106,680,908,16,,0.75,35,1308,112,,0.714,39,317,1,,0,0,1303,23,,0.826,63,959,45,,0.711,33,1872,10,,1,74,246,29,,0.448,17,819,77,,0.662,29,316,71,,0.704,22,96,0,0,0,0,1361,26,,0.808,34,164,1,,0,0,47,681,,0.151,5.7
2013,3163,492,,0.98,88,3826,320,,0.975,129,3043,201,,0.836,126,3395,20,,1,106,3863,25,,0.92,108,2166,33,,0.727,104,909,68,,0.471,14,978,46,,0.652,33,498,1397,,0.383,24,1295,646,,0.759,48,1059,270,,0.574,41,769,793,,0.641,35,3656,37,,0.973,102,680,908,20,,0.8,50,1308,107,,0.682,51,317,0,,0,0,1303,29,,0.897,56,959,62,,0.726,43,1872,9,,1,36,246,25,,0.64,15,819,70,,0.686,33,316,64,,0.672,19,96,0,0,0,0,1361,28,,0.679,30,164,3,,0,0,47,746,,0.198,5.4
