year,24_w,24_N,24_cust,24_custp,24_acsl,27_w,27_N,27_cust,27_custp,27_acsl,33_w,33_N,33_cust,33_custp,33_acsl,38_w,38_N,38_cust,38_custp,38_acsl,54_w,54_N,54_cust,54_custp,54_acsl,59_w,59_N,59_cust,59_custp,59_acsl,60_w,60_N,60_cust,60_custp,60_acsl,61_w,61_N,61_cust,61_custp,61_acsl,61A_w,61A_N,61A_cust,61A_custp,61A_acsl,67_w,67_N,67_cust,67_custp,67_acsl,75_w,75_N,75_cust,75_custp,75_acsl,76_w,76_N,76_cust,76_custp,76_acsl,78_w,78_N,78_cust,78_custp,78_acsl,79_w,79_N,79_cust,79_custp,79_acsl,80_w,80_N,80_cust,80_custp,80_acsl,82_w,82_N,82_cust,82_custp,82_acsl,83_w,83_N,83_cust,83_custp,83_acsl,84_w,84_N,84_cust,84_custp,84_acsl,85_w,85_N,85_cust,85_custp,85_acsl,86_w,86_N,86_cust,86_custp,86_acsl,87_w,87_N,87_cust,87_custp,87_acsl,89_w,89_N,89_cust,89_custp,89_acsl,91_w,91_N,91_cust,91_custp,91_acsl,94_w,94_N,94_cust,94_custp,94_acsl,95_w,95_N,95_cust,95_custp,95_acsl,99_w,99_N,99_cust,99_custp,99_acsl,802_w,802_N,802_cust,802_custp,802_acsl,814_w,814_N,814_cust,814_custp,814_acsl
2004,347,6,3,,0,3,45,22,,20.86363636,37,1654,456,,4.803662281,278,123,62,,30.62467742,70,10762,2323,,6.54591907,59,675,126,,13.59047619,18,206,52,,6.138461538,148,2903,1293,,6.901701469,185,0,0,0,0,116,145,90,,10.26222222,32,8,0,,0,1464,2,0,,0,757,419,363,,13.39101928,184,1962,890,,8.319393258,157,666,475,,5.151726316,237,42,21,,28.85714286,4,32140,3399,,0.856684319,28,875,90,,4.894444444,311,711,2,,NA,122,1245,615,,12.3201626,12,23,1,,NA,8,146,0,,0,9,1141,8,,5,14,287,0,,0,16,17,0,,0,186,1190,331,,13.44229607,135,5585,2306,,8.726348656,7,2652,13,,4.907692308
2005,347,10,8,,12.25,3,24,12,,11.58333333,37,1546,428,,5.158411215,278,545,178,,19.61348315,70,9284,1914,,6.971509927,59,725,127,,6.959285714,18,198,51,,7.708431373,148,3297,1733,,9.745551068,185,0,0,0,0,116,131,70,,11.43814286,32,4,0,,0,1464,0,0,,0,757,810,756,,9.624378307,184,2059,867,,8.740750577,157,595,450,,5.706888889,237,56,6,,26.66666667,4,30036,3412,,0.875218411,28,1181,198,,5.326767677,311,614,2,,NA,122,1233,585,,11.76740933,12,20,0,,0,8,151,2,,NA,9,1442,5,,3.134,14,286,1,,NA,16,88,0,,0,186,1238,344,,20.21776163,135,4803,1991,,8.459437469,7,1923,12,,3.8225
2006,347,40,19,,29.23333333,3,3,0,,0,37,1631,407,,4.945282555,278,1232,361,,18.76149584,70,7880,1590,,6.709640832,59,654,95,,10.16631579,18,156,43,,8.555813953,148,3348,1986,,10.19951158,185,0,0,0,0,116,90,42,,12.65071429,32,6,0,,0,1464,6,3,,NA,757,860,793,,7.36738966,184,2056,788,,10.00849682,157,484,370,,6.029756757,237,284,14,,8.097857143,4,27129,3053,,0.905429227,28,1389,311,,4.003858521,311,529,1,,NA,122,1037,418,,12.17825193,12,25,5,,3.76,8,115,1,,NA,9,1366,10,,3.909,14,355,0,,0,16,16,2,,NA,186,1419,301,,19.77993311,135,4507,1714,,9.068260362,7,1518,6,,4.5
2007,347,53,30,,19.709,3,4,2,,NA,37,1735,430,,4.093255814,278,1310,360,,17.93825,70,7649,1422,,6.800091421,59,633,105,,8.213714286,18,110,19,,10.37894737,148,4229,3047,,9.376511323,185,0,0,0,0,116,87,38,,9.926315789,32,8,0,,0,1464,3,2,,NA,757,564,497,,7.017585513,184,1847,729,,9.699724518,157,479,358,,5.379439776,237,124,13,,13,4,22104,2447,,0.907466285,28,1355,264,,4.302765152,311,633,1,,NA,122,1045,442,,13.18432161,12,21,1,,NA,8,83,1,,NA,9,1609,12,,9.783333333,14,422,0,,0,16,30,4,,NA,186,1507,300,,17.946,135,4221,1566,,8.859553001,7,1091,8,,5.05875
2008,347,72,48,,14.5375,3,4,3,,NA,37,1832,441,,3.734920635,278,1260,408,,20.48595588,70,7399,1498,,6.632643525,59,568,95,,9.385578947,18,74,12,,6.939166667,148,4441,3338,,9.545865788,185,0,0,0,0,116,80,46,,11,32,5,0,,0,1464,4,0,,0,757,495,402,,8.494800995,184,1859,797,,9.718680905,157,399,291,,5.559450172,237,73,16,,20,4,17351,2347,,0.832484022,28,1241,290,,5.027862069,311,617,8,,6.27125,122,1282,515,,13.96178794,12,14,1,,NA,8,63,0,,0,9,1682,11,,9.139090909,14,401,0,,0,16,68,17,,2.043529412,186,1330,309,,18.26103896,135,3664,1386,,9.46531746,7,751,9,,4.325555556
2009,347,65,47,,16.71617021,3,0,0,0,0,37,1765,375,,4.248293333,278,1375,488,,20.13415984,70,7037,1355,,7.210450185,59,562,93,,9.241182796,18,51,10,,9.86,148,3577,2558,,9.02365129,185,0,0,0,0,116,98,40,,9.0615,32,6,3,,NA,1464,2,2,,NA,757,473,381,,11.75317585,184,1790,748,,9.007245989,157,329,246,,5.699878049,237,69,17,,34.17647059,4,16053,1723,,0.786535113,28,973,236,,5.783644068,311,522,7,,6.142857143,122,1301,479,,12.63275109,12,23,4,,NA,8,47,3,,NA,9,1636,11,,6.327272727,14,460,0,,0,16,80,37,,1.917297297,186,1928,378,,16.19240741,135,3484,1309,,9.125592055,7,540,17,,5.139411765
2010,347,65,,0.692,19.5,3,1,0,0,0,37,1830,,0.233,4,278,1449,,0.351,20.4,70,7075,,0.195,7.3,59,571,,0.152,9.6,18,46,,0.196,9.5,148,3114,,0.706,8.5,185,0,0,0,0,116,94,,0.479,10.8,32,3,,0,0,1464,1,,0,NA,757,411,,0.798,13.7,184,1829,,0.405,9.5,157,279,,0.749,5.4,237,22,,0.227,13.2,4,17788,,0.104,0.8,28,872,,0.251,6.5,311,553,,0.005,NA,122,1363,,0.348,13.4,12,27,,0.111,NA,8,58,,0.052,NA,9,1837,,0.008,5.7,14,447,,0,0,16,102,,0.373,2.1,186,2120,,0.201,15.7,135,3222,,0.37,9.4,7,509,,0.022,3.7
2011,347,55,,0.564,16,3,1,0,0,0,37,1882,,0.258,3.5,278,1545,,0.322,20.3,70,7801,,0.216,7.5,59,634,,0.174,11.6,18,33,,0.091,NA,148,2071,,0.643,9,185,318,,0.818,8.7,116,107,,0.533,9.5,32,4,,0,0,1464,0,,0,0,757,412,,0.816,13.9,184,1808,,0.415,10.5,157,298,,0.812,5.5,237,27,,0.593,32,4,18145,,0.11,0.8,28,768,,0.207,6.1,311,600,,0.007,NA,122,1579,,0.329,14.5,12,15,,0.2,NA,8,52,,0,0,9,1849,,0.019,5.8,14,443,,0,0,16,104,,0.24,2.5,186,1753,,0.226,17.9,135,3023,,0.358,9.6,7,423,,0.019,5.4
2012,347,39,,0.667,18.8,3,1,0,0,0,37,1792,,0.297,4.2,278,1427,,0.35,21,70,8284,,0.223,7.1,59,569,,0.181,7.6,18,55,,0.164,26.4,148,673,,0.47,9.5,185,1133,,0.772,9.1,116,115,,0.443,6.6,32,8,,0,0,1464,0,,0,0,757,401,,0.773,15.5,184,1501,,0.494,10.1,157,260,,0.785,7.5,237,43,,0.535,29.5,4,14867,,0.101,0.8,28,760,,0.145,9.2,311,575,,0.012,6.5,122,1694,,0.311,15.6,12,25,,0.04,NA,8,35,,0,0,9,1705,,0.021,5,14,455,,0,0,16,98,,0.408,3.2,186,1559,,0.285,20.1,135,2919,,0.398,9.8,7,382,,0.031,5.1
2013,347,32,,0.656,16.4,3,0,0,0,0,37,1917,,0.261,3.4,278,1312,,0.367,22.8,70,6545,,0.224,6.7,59,520,,0.156,11.4,18,41,,0.024,NA,148,694,,0.399,11.5,185,1156,,0.755,8.8,116,72,,0.278,8.1,32,8,,0.125,NA,1464,0,,0,0,757,344,,0.831,17.8,184,1334,,0.524,10.8,157,258,,0.837,6.2,237,64,,0.297,15.6,4,12128,,0.105,0.8,28,761,,0.109,8.6,311,618,,0.002,NA,122,1613,,0.278,16.3,12,20,,0.1,NA,8,48,,0.021,NA,9,1511,,0.013,2.5,14,403,,0,0,16,59,,0.339,0.9,186,1669,,0.359,14.2,135,2687,,0.404,9.7,7,333,,0.027,4.9
