year,28_w,28_N,28_cust,28_custp,28_acsl,29_w,29_N,29_cust,29_custp,29_acsl,30_w,30_N,30_cust,30_custp,30_acsl,31_w,31_N,31_cust,31_custp,31_acsl,37_w,37_N,37_cust,37_custp,37_acsl,45_w,45_N,45_cust,45_custp,45_acsl,48_w,48_N,48_cust,48_custp,48_acsl,126_w,126_N,126_cust,126_custp,126_acsl,39_w,39_N,39_cust,39_custp,39_acsl,44_w,44_N,44_cust,44_custp,44_acsl,46_w,46_N,46_cust,46_custp,46_acsl,35_w,35_N,35_cust,35_custp,35_acsl,40_w,40_N,40_cust,40_custp,40_acsl,41_w,41_N,41_cust,41_custp,41_acsl,42_w,42_N,42_cust,42_custp,42_acsl,43_w,43_N,43_cust,43_custp,43_acsl,47_w,47_N,47_cust,47_custp,47_acsl,49_w,49_N,49_cust,49_custp,49_acsl
2004,564,13508,6827,,21,2459,264,239,,52,150,10342,3738,,9,1856,19,10,,62,55,3404,1202,,9,35,3426,854,,4,143,994,296,,8,9,2458,302,,2,87,6924,2209,,9,19,691,63,,3,13,69355,13339,,2,774,138,106,,32,52,1320,278,,5,47,2685,333,,9,79,212,69,,7,7,325,23,,4,96,473,107,,6,43,9547,1601,,5
2005,564,12637,6166,,21,2459,220,191,,52,150,9768,3176,,9,1856,27,17,,45,55,2962,993,,8,35,3512,823,,4,143,914,277,,8,9,2361,261,,2,87,6640,1936,,9,19,861,76,,3,13,63896,12096,,2,774,139,94,,30,52,1340,251,,6,47,2683,337,,10,79,253,89,,8,7,353,18,,2,96,505,94,,11,43,9570,1390,,5
2006,564,12253,5912,,20,2459,230,204,,47,150,10173,3099,,9,1856,19,14,,46,55,2750,894,,8,35,4315,1003,,3,143,933,248,,7,9,2310,312,,2,87,6648,1898,,8,19,987,91,,3,13,58332,11166,,2,774,177,124,,42,52,1420,278,,6,47,2601,310,,10,79,207,75,,12,7,343,20,,2,96,452,78,,12,43,10546,1619,,4
2007,564,12907,5959,,20,2459,236,213,,49,150,10374,3043,,8,1856,32,22,,57,55,2780,886,,8,35,4310,1011,,4,143,940,244,,7,9,2276,326,,2,87,7016,1896,,8,19,1169,93,,2,13,62329,11268,,2,774,138,93,,29,52,1448,247,,6,47,2561,319,,10,79,190,52,,8,7,391,23,,6,96,431,84,,6,43,12973,1707,,4
2008,564,13196,6446,,21,2459,277,250,,50,150,10160,3250,,8,1856,18,14,,47,55,2066,719,,9,35,4445,1073,,3,143,919,255,,6,9,1928,298,,2,87,6896,1957,,8,19,1152,91,,2,13,67903,12584,,2,774,152,124,,32,52,1525,259,,5,47,2716,305,,11,79,148,34,,7,7,455,23,,4,96,349,73,,7,43,13115,1729,,4
2009,564,13021,6874,,21,2459,276,246,,50,150,9443,2888,,9,1856,25,20,,48,55,1777,620,,10,35,4475,1030,,4,143,851,236,,6,9,1836,281,,2,87,6126,1959,,8,19,1453,138,,3,13,72669,11918,,2,774,177,132,,41,52,1860,332,,5,47,2718,328,,12,79,133,41,,10,7,361,21,,2,96,409,110,,11,43,10270,1382,,4
2010,564,12935,,0.525,21,2459,317,,0.886,56,150,9205,,0.306,9,1856,19,,0.789,44,55,1498,,0.346,9,35,4363,,0.233,3,143,794,,0.306,7,9,1715,,0.160,2,87,6106,,0.330,8,19,1525,,0.093,3,13,73556,,0.168,2,774,168,,0.786,35,52,2024,,0.180,5,47,2624,,0.104,13,79,131,,0.313,8,7,385,,0.060,5,96,415,,0.246,9,43,10980,,0.135,5
2011,564,14351,,0.544,22,2459,331,,0.921,55,150,9726,,0.322,8,1856,29,,0.828,41,55,1208,,0.372,9,35,4607,,0.256,3,143,837,,0.358,7,9,1479,,0.191,2,87,6840,,0.316,8,19,1901,,0.126,3,13,77681,,0.177,2,774,177,,0.797,35,52,2355,,0.214,5,47,2544,,0.118,16,79,126,,0.238,8,7,432,,0.044,5,96,406,,0.286,12,43,13134,,0.136,5
2012,564,13568,,0.581,22,2459,330,,0.924,64,150,10593,,0.392,10,1856,17,,1.000,68,55,1240,,0.384,9,35,4413,,0.261,4,143,872,,0.354,9,9,1158,,0.166,2,87,6344,,0.343,7,19,1972,,0.141,2,13,74521,,0.185,2,774,162,,0.809,33,52,2527,,0.228,6,47,2409,,0.125,14,79,157,,0.204,11,7,461,,0.037,2,96,311,,0.328,8,43,12817,,0.156,5
2013,564,11756,,0.608,23,2459,272,,0.963,77,150,8291,,0.401,9,1856,10,,0.900,59,55,1020,,0.395,9,35,3646,,0.268,3,143,769,,0.402,11,9,905,,0.185,1,87,5647,,0.365,7,19,1791,,0.173,3,13,71010,,0.197,2,774,172,,0.680,31,52,2365,,0.257,7,47,2233,,0.112,15,79,128,,0.305,15,7,428,,0.035,2,96,306,,0.438,13,43,9410,,0.177,7
