year,1_w,1_N,1_cust,1_custp,1_acsl,4.4_w,4.4_N,4.4_cust,4.4_custp,4.4_acsl,4.6_w,4.6_N,4.6_cust,4.6_custp,4.6_acsl,4.8_w,4.8_N,4.8_cust,4.8_custp,4.8_acsl,4.9_w,4.9_N,4.9_cust,4.9_custp,4.9_acsl,37.1_w,37.1_N,37.1_cust,37.1_custp,37.1_acsl,2_w,2_N,2_cust,2_custp,2_acsl,4.3_w,4.3_N,4.3_cust,4.3_custp,4.3_acsl,5A_w,5A_N,5A_cust,5A_custp,5A_acsl,5D_w,5D_N,5D_cust,5D_custp,5D_acsl,5E_w,5E_N,5E_cust,5E_custp,5E_acsl,6_w,6_N,6_cust,6_custp,6_acsl,7_w,7_N,7_cust,7_custp,7_acsl,8F_w,8F_N,8F_cust,8F_custp,8F_acsl,8H_w,8H_N,8H_cust,8H_custp,8H_acsl,4.7_w,4.7_N,4.7_cust,4.7_custp,4.7_acsl,8G_w,8G_N,8G_cust,8G_custp,8G_acsl,8J_w,8J_N,8J_cust,8J_custp,8J_acsl,8N_w,8N_N,8N_cust,8N_custp,8N_acsl,3A_w,3A_N,3A_cust,3A_custp,3A_acsl,3B_w,3B_N,3B_cust,3B_custp,3B_acsl,11_w,11_N,11_cust,11_custp,11_acsl,12_w,12_N,12_cust,12_custp,12_acsl,13_w,13_N,13_cust,13_custp,13_acsl,14_w,14_N,14_cust,14_custp,14_acsl,36_w,36_N,36_cust,36_custp,36_acsl,104_w,104_N,104_cust,104_custp,104_acsl,105A_w,105A_N,105A_cust,105A_custp,105A_acsl,105B_w,105B_N,105B_cust,105B_custp,105B_acsl,106_w,106_N,106_cust,106_custp,106_acsl,8L_w,8L_N,8L_cust,8L_custp,8L_acsl,8M_w,8M_N,8M_cust,8M_custp,8M_acsl,8Q_w,8Q_N,8Q_cust,8Q_custp,8Q_acsl,8R_w,8R_N,8R_cust,8R_custp,8R_acsl,8U_w,8U_N,8U_cust,8U_custp,8U_acsl
2004,7832,626,594,,65,951,241,221,,44,1590,62,59,,43,115,4,0,,0,447,0,0,,0,854,11,8,,20,4707,96,84,,135,6084,1,1,,NA,2088,1697,1542,,49,2088,0,0,0,,1923,203,73,,46,67,22,3,,NA,25,3,1,,NA,353,4331,2278,,18,586,32,18,,19,1196,0,0,,0,145,14613,3918,,10,240,129,64,,19,203,499,173,,6,2094,40,25,,60,311,526,246,,16,158,545,139,,18,120,0,0,,0,263,69,46,,22,984,1,1,NA,,1505,397,301,,38,7,15051,1958,,3,13,38232,4311,,3,29,512,164,,6,1550,0,0,,0,40,690,124,,9,35,829,193,,5,99,0,0,,0,19,63,3,,NA,392,0,0,0,0
2005,7832,658,629,,56,951,254,238,,45,1590,66,62,,42,115,73,0,,NA,447,10,1,,NA,854,23,8,,19,4707,66,61,,142,6084,0,0,,0,2088,1673,1516,,49,2088,1,1,NA,,1923,207,69,,46,67,31,5,,14,25,7,3,,NA,353,4227,2182,,18,586,38,17,,10,1196,0,0,,0,145,15809,4450,,10,240,161,87,,14,203,449,147,,5,2094,36,23,,67,311,537,207,,16,158,476,104,,19,120,0,0,,0,263,80,40,,19,984,0,0,0,,1505,377,281,,50,7,15647,2123,,3,13,44679,5003,,3,29,630,200,,6,1550,0,0,,0,40,766,148,,8,35,952,205,,5,99,0,0,,0,19,73,8,,4,392,0,0,0,0
2006,7832,585,559,,66,951,223,210,,44,1590,65,64,,41,115,236,45,,15,447,22,4,,NA,854,11,6,,19,4707,79,70,,142,6084,1,0,,NA,2088,1559,1445,,46,2088,1,1,NA,,1923,169,70,,52,67,30,5,,7,25,3,1,,NA,353,4322,2118,,19,586,49,22,,19,1196,2,2,,NA,145,16569,4206,,10,240,175,66,,15,203,376,100,,5,2094,39,28,,69,311,467,189,,17,158,479,108,,15,120,2,0,,0,263,83,41,,18,984,0,0,0,,1505,403,291,,38,7,15181,1883,,3,13,49179,5546,,3,29,730,190,,6,1550,0,0,,0,40,811,149,,8,35,1187,209,,4,99,0,0,,0,19,120,8,,3,392,0,0,0,0
2007,7832,597,578,,62,951,233,214,,44,1590,67,65,,39,115,232,46,,15,447,18,5,,8,854,18,8,,13,4707,87,74,,160,6084,0,0,,0,2088,1734,1548,,44,2088,2,1,NA,,1923,180,62,,88,67,39,8,,13,25,8,2,,NA,353,4487,2159,,19,586,60,25,,22,1196,6,6,,74,145,16515,4205,,11,240,126,64,,15,203,295,93,,5,2094,45,38,,43,311,415,179,,17,158,476,93,,17,120,1,0,,0,263,66,24,,20,984,1,1,NA,,1505,397,303,,39,7,16169,1927,,3,13,52632,6161,,3,29,841,191,,6,1550,1,0,,NA,40,764,124,,9,35,1385,260,,4,99,0,0,,0,19,166,19,,3,392,0,0,0,0
2008,7832,687,665,,59,951,221,206,,49,1590,46,45,,47,115,224,59,,14,447,15,4,,NA,854,4,4,,NA,4707,93,81,,169,6084,0,0,,0,2088,1664,1548,,49,2088,1,0,NA,,1923,214,84,,66,67,27,11,,9,25,3,1,,NA,353,4341,2188,,18,586,68,36,,14,1196,6,3,,NA,145,15509,4306,,11,240,147,59,,12,203,246,73,,6,2094,36,31,,63,311,399,170,,17,158,581,133,,17,120,1,0,,0,263,59,22,,24,984,2,2,NA,,1505,395,310,,42,7,15383,1778,,2,13,52267,6698,,3,29,837,218,,5,1550,0,0,,0,40,777,162,,9,35,1443,243,,5,99,0,0,,0,19,240,26,,3,392,0,0,0,0
2009,7832,596,578,,65,951,233,218,,44,1590,35,33,,52,115,199,56,,13,447,12,4,,NA,854,9,7,,28,4707,92,84,,169,6084,0,0,,0,2088,1674,1553,,52,2088,0,0,0,,1923,210,73,,62,67,20,4,,NA,25,6,1,,NA,353,4664,2567,,18,586,104,27,,10,1196,13,11,,44,145,15714,4475,,11,240,142,72,,15,203,206,55,,7,2094,23,16,,58,311,376,166,,15,158,714,158,,18,120,2,1,,NA,263,56,16,,23,984,0,0,0,,1505,426,310,,42,7,14687,1613,,2,13,52901,6793,,3,29,881,214,,5,1550,0,0,,0,40,729,156,,7,35,1626,245,,4,99,0,0,,0,19,401,30,,2,392,0,0,0,0
2010,7832,559,,0.979,68,951,220,,0.905,47,1590,44,,0.977,49,115,168,,0.107,14,447,21,,0.143,NA,854,6,,0.833,42,4707,92,,0.946,169,6084,0,0,,0,2088,1676,,1,53,2088,0,0,0,,1923,170,,0.376,62,67,13,,0.154,NA,25,12,,0.083,NA,353,4829,,0.528,18,586,87,,0.195,13,1196,9,,0.889,44,145,16200,,0.279,11,240,148,,0.534,17,203,213,,0.333,6,2094,25,,0.68,86,311,390,,0.459,16,158,719,,0.211,19,120,0,0,,0,263,79,,0.43,25,984,2,0,0,0,1505,389,,0.771,44,7,14189,,0.108,2,13,54040,,0.128,3,29,926,,0.241,5,1550,0,0,,0,40,676,,0.179,7,35,1690,,0.141,4,99,37,,0.135,3,19,445,,0.092,2,392,0,0,0,0
2011,7832,511,,0.975,77,951,119,,0.924,47,1590,34,,1,45,115,234,,0.205,17,447,14,,0.286,NA,854,9,,0.889,40,4707,83,,0.867,169,6084,0,0,0,0,2088,2710,,1,45,2088,0,0,0,0,1923,172,,0.413,72,67,20,,0.45,14,25,9,,0.111,NA,353,3825,,0.499,18,586,32,,0.469,18,1196,2,,0,0,145,15983,,0.275,11,240,131,,0.427,15,203,197,,0.34,6,2094,16,,0.563,21,311,463,,0.441,17,158,660,,0.22,20,120,2,0,0,0,263,71,,0.521,18,984,0,0,0,0,1505,358,,0.83,49,7,14348,,0.107,2,13,54316,,0.135,3,29,1069,,0.205,5,1550,0,0,0,0,40,798,,0.287,9,35,1903,,0.144,3,99,95,,0.158,4,19,524,,0.109,2,392,0,0,0,0
2012,7832,516,,0.967,83,951,126,,0.96,51,1590,31,,0.935,55,115,235,,0.264,14,447,19,,0.263,8,854,3,0,0,0,4707,98,,0.918,183,6084,0,0,0,0,2088,3358,,1,47,2088,0,0,0,0,1923,178,,0.522,104,67,19,,0.263,6,25,5,,0.2,NA,353,2580,,0.493,20,586,17,,0.471,26,1196,3,,0,0,145,11331,,0.321,12,240,101,,0.515,14,203,201,,0.234,7,2094,26,,0.846,101,311,450,,0.471,20,158,678,,0.243,21,120,1,0,0,0,263,105,,0.4,18,984,0,0,0,0,1505,356,,0.817,46,7,13825,,0.098,2,13,53384,,0.138,3,29,1098,,0.216,5,1550,0,0,0,0,40,646,,0.348,10,35,1801,,0.168,4,99,138,,0.13,4,19,576,,0.109,2,392,0,0,0,0
2013,7832,546,,0.971,92,951,110,,0.955,50,1590,26,,0.962,58,115,215,,0.247,13,447,16,,0.313,14,854,4,0,0,0,4707,64,,0.953,183,6084,0,0,0,0,2088,2839,,1,53,2088,0,0,0,0,1923,163,,0.552,111,67,15,,0.267,NA,25,7,0,0,0,353,2426,,0.5,20,586,16,,0.625,25,1196,2,,0,0,145,8129,,0.372,13,240,75,,0.573,17,203,149,,0.215,6,2094,18,,0.889,94,311,410,,0.51,19,158,547,,0.247,21,120,1,0,0,0,263,81,,0.543,17,984,2,0,0,0,1505,296,,0.78,37,7,11799,,0.095,2,13,49229,,0.135,3,29,999,,0.214,5,1550,8,,1,44,40,525,,0.358,10,35,1689,,0.146,3,99,128,,0.188,7,19,519,,0.139,2,392,0,0,0,0
