year,10A_w,10A_N,10A_cust,10A_custp,10A_acsl,10B_w,10B_N,10B_cust,10B_custp,10B_acsl,10C_w,10C_N,10C_cust,10C_custp,10C_acsl,10D_w,10D_N,10D_cust,10D_custp,10D_acsl,81_w,81_N,81_cust,81_custp,81_acsl
2004,703,582,348,,29.07675758,555,1649,465,,27.25359914,61,5791,821,,4.049366626,71,5908,815,,2.965779141,1711,13,6,,55.5
2005,703,532,325,,27.70165017,555,1764,468,,32.37735043,61,5719,832,,4.407737665,71,6002,970,,3.222783505,1711,10,6,,30.66666667
2006,703,501,299,,27.11712062,555,1606,447,,32.63925843,61,5670,791,,4.964296578,71,6334,1075,,3.435944186,1711,11,2,,NA
2007,703,532,304,,29.19709163,555,1758,480,,34.5348643,61,5611,853,,4.740457746,71,6166,1065,,3.637962441,1711,20,6,,47.5
2008,703,522,343,,28.94557377,555,1870,575,,40.94642105,61,5713,1073,,5.505443511,71,6453,1377,,4.660581818,1711,18,6,,27.8
2009,703,384,256,,30.85449153,555,1898,593,,38.13986509,61,5080,934,,6.226584582,71,7684,1675,,4.738925373,1711,8,4,,NA
2010,703,389,,0.692,32.8,555,1770,,0.278,36.8,61,4559,,0.185,6.5,71,6826,,0.221,4.8,1711,10,,0.6,36.5
2011,703,361,,0.684,32.3,555,1705,,0.291,35.1,61,4171,,0.18,6.5,71,6337,,0.224,4.8,1711,73,,0.89,57.5
2012,703,339,,0.667,32.4,555,1388,,0.296,32.2,61,3685,,0.215,7.1,71,5934,,0.255,5.2,1711,106,,0.943,53.9
2013,703,286,,0.643,31.3,555,1225,,0.299,31.2,61,2974,,0.208,7.2,71,5215,,0.255,5.1,1711,114,,0.842,50.9
2014,703,290,,0.641,32.4,555,1174,,0.303,38.7,61,2849,,0.205,6.3,71,5537,,0.259,6,1711,76,,0.855,51.5
2015,703,299,,0.615,31.4,555,1186,,0.363,39.9,61,2810,,0.22,7.5,71,5910,,0.261,5.8,1711,40,,0.525,53.5
2016,703,328,,0.607,32.4,555,1290,,0.407,42.7,61,3097,,0.246,7.1,71,6767,,0.308,6.4,1711,42,,0.476,50.6
2017,703,360,,0.656,35.4,555,1356,,0.448,42.1,61,3535,,0.282,6.8,71,7567,,0.324,6.6,1711,47,,0.553,109.8
2018,703,381,,0.703,41.9,555,1155,,0.476,41,61,3615,,0.297,7,71,8231,,0.349,6.6,1711,56,,0.661,106.1
2019,703,324,,0.691,37.2,555,1242,,0.424,38.1,61,3840,,0.298,7.5,71,9013,,0.391,7.2,1711,54,,0.481,95.1
2020,703,259,,0.691,35.3,555,1076,,0.372,37.6,61,2886,,0.314,7.4,71,7421,,0.393,7.4,1711,47,,0.319,69.1
2021,703,319,,0.624,37.3,555,1301,,0.287,41.1,61,3445,,0.226,6.9,71,8401,,0.29,7.1,1711,68,,0.456,87.2
2022,703,372,,0.578,41.8,555,1113,,0.334,50,61,3026,,0.239,6.5,71,8321,,0.308,7.3,1711,64,,0.484,81.6
2023,703,298,,0.617,37.1,555,902,,0.348,47.5,61,3071,,0.26,7.9,71,8569,,0.317,7.2,1711,33,,0.606,97.2
2024,703,322,,0.59,37.5,555,871,,0.409,48.5,61,3346,,0.246,8.5,71,8645,,0.306,7.4,1711,38,,0.5,93.1
